Rank,Date,Tm,,Opp,,,Scorer,Age,Cr. Goal #,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
857,2006-03-04,WSH,@,ATL,L,OT,Alex Ovechkin,20-168,39,Mike Green,Chris Clark,Kari Lehtonen,3,19:34,PP,,Philips Arena
858,2006-03-02,WSH,@,OTT,L,,Alex Ovechkin,20-166,38,Dainius Zubrus,,Ray Emery,3,14:53,SH,,Corel Centre
859,2006-02-28,WSH,@,TOR,W,,Alex Ovechkin,20-164,37,,,Ed Belfour,2,00:19,PP,,Air Canada Centre
860,2006-02-11,WSH,,PIT,L,,Alex Ovechkin,20-147,36,Dainius Zubrus,,Marc-André Fleury,3,10:07,SH,,MCI Center
861,2006-02-10,WSH,@,PHI,L,,Alex Ovechkin,20-146,35,Dainius Zubrus,,Robert Esche,2,15:01,PP,,Wachovia Center
862,2006-01-25,WSH,@,PIT,L,,Alex Ovechkin,20-130,34,Brian Willsie,Dainius Zubrus,Marc-André Fleury,2,05:22,PP,,Mellon Arena
863,2006-01-19,WSH,,STL,W,SO,Alex Ovechkin,20-124,33,Chris Clark,Nolan Yonkman,Curtis Sanford,1,09:52,EV,,MCI Center
864,2006-01-16,WSH,@,PHX,W,,Alex Ovechkin,20-121,32,Brendan Witt,,Brian Boucher,3,11:54,EV,,Glendale Arena
865,2006-01-16,WSH,@,PHX,W,,Alex Ovechkin,20-121,31,,,Brian Boucher,1,14:13,PP,,Glendale Arena
866,2006-01-13,WSH,@,MDA,W,OT,Alex Ovechkin,20-118,28,Chris Clark,Shaone Morrisonn,Jean-Sébastien Giguère,2,01:45,EV,,Arrowhead Pond of Anaheim
867,2006-01-13,WSH,@,MDA,W,OT,Alex Ovechkin,20-118,29,Chris Clark,Dainius Zubrus,Jean-Sébastien Giguère,2,12:06,EV,,Arrowhead Pond of Anaheim
868,2006-01-13,WSH,@,MDA,W,OT,Alex Ovechkin,20-118,30,Dainius Zubrus,,Jean-Sébastien Giguère,OT,03:04,EV,,Arrowhead Pond of Anaheim
869,2006-01-12,WSH,@,DAL,L,,Alex Ovechkin,20-117,27,Brian Sutherby,Olaf Kölzig,Marty Turco,2,03:06,EV,,American Airlines Center
870,2006-01-10,WSH,,CHI,L,OT,Alex Ovechkin,20-115,26,,,Adam Munro,2,13:11,EV,,MCI Center
871,2006-01-06,WSH,,PHI,L,,Alex Ovechkin,20-111,25,Bryan Muir,Dainius Zubrus,Antero Niittymäki,1,08:55,PP,,MCI Center
872,2006-01-01,WSH,,ATL,L,,Alex Ovechkin,20-106,24,Brooks Laich,,Kari Lehtonen,3,15:15,EV,,MCI Center
873,2005-12-31,WSH,,PHI,W,SO,Alex Ovechkin,20-105,23,Jamie Heward,,Antero Niittymäki,2,07:38,PP,,MCI Center
874,2005-12-28,WSH,@,NJD,L,,Alex Ovechkin,20-102,22,Mathieu Biron,Matt Pettinger,Martin Brodeur,1,09:44,PP,,Continental Airlines Arena
875,2005-12-27,WSH,,BOS,L,OT,Alex Ovechkin,20-101,21,,,Hannu Toivonen,3,11:47,EV,,MCI Center
876,2005-12-23,WSH,,MTL,W,,Alex Ovechkin,20-097,20,Jeff Halpern,,Cristobal Huet,3,13:45,EV,,MCI Center
877,2005-12-22,WSH,@,ATL,W,SO,Alex Ovechkin,20-096,19,Jamie Heward,Mathieu Biron,Michael Garnett,2,05:04,PP,,Philips Arena
878,2005-12-09,WSH,,DET,L,,Alex Ovechkin,20-083,18,Bryan Muir,Jamie Heward,Chris Osgood,1,05:23,PP,,MCI Center
879,2005-12-07,WSH,,NSH,L,,Alex Ovechkin,20-081,17,Andrew Cassels,Jamie Heward,Chris Mason,2,02:30,PP,,MCI Center
880,2005-12-03,WSH,,NYR,W,,Alex Ovechkin,20-077,16,,,Henrik Lundqvist,1,12:11,EV,,MCI Center
881,2005-11-17,WSH,@,BUF,L,,Alex Ovechkin,20-061,15,Andrew Cassels,Brian Willsie,Martin Biron,2,19:05,PP,,HSBC Arena
882,2005-11-15,WSH,,TBL,W,SO,Alex Ovechkin,20-059,14,Jeff Halpern,Andrew Cassels,Sean Burke,3,18:45,EV,,MCI Center
883,2005-11-11,WSH,,NJD,L,,Alex Ovechkin,20-055,13,Brian Willsie,Steve Eminger,Martin Brodeur,3,10:35,EV,,MCI Center
884,2005-11-08,WSH,@,TOR,L,,Alex Ovechkin,20-052,11,Dainius Zubrus,,Ed Belfour,1,15:18,EV,,Air Canada Centre
885,2005-11-08,WSH,@,TOR,L,,Alex Ovechkin,20-052,12,Bryan Muir,Brian Willsie,Ed Belfour,3,09:16,PP,,Air Canada Centre
886,2005-11-06,WSH,,TOR,W,,Alex Ovechkin,20-050,9,Jeff Halpern,Steve Eminger,Mikael Tellqvist,2,15:01,PP,,MCI Center
887,2005-11-06,WSH,,TOR,W,,Alex Ovechkin,20-050,10,Bryan Muir,Jeff Halpern,Mikael Tellqvist,3,06:07,PP,,MCI Center
888,2005-10-28,WSH,@,TBL,L,,Alex Ovechkin,20-041,7,Shaone Morrisonn,Olaf Kölzig,Sean Burke,1,03:25,EV,,St. Pete Times Forum
889,2005-10-28,WSH,@,TBL,L,,Alex Ovechkin,20-041,8,Jamie Heward,,Sean Burke,1,13:12,SH,,St. Pete Times Forum
890,2005-10-20,WSH,@,FLA,L,,Alex Ovechkin,20-033,5,Brian Willsie,,Roberto Luongo,1,01:50,EV,,BankAtlantic Center
891,2005-10-20,WSH,@,FLA,L,,Alex Ovechkin,20-033,6,Steve Eminger,Olaf Kölzig,Roberto Luongo,3,17:22,EV,,BankAtlantic Center
892,2005-10-12,WSH,@,CAR,L,,Alex Ovechkin,20-025,4,Andrew Cassels,,Cam Ward,1,10:28,EV,,RBC Center
893,2005-10-10,WSH,,NYR,W,,Alex Ovechkin,20-023,3,Jamie Heward,Bryan Muir,Kevin Weekes,3,09:03,PP,,MCI Center
894,2005-10-05,WSH,,CBJ,W,,Alex Ovechkin,20-018,1,Dainius Zubrus,Jeff Halpern,Pascal Leclaire,2,07:21,EV,,MCI Center
895,2005-10-05,WSH,,CBJ,W,,Alex Ovechkin,20-018,2,Jeff Halpern,Mathieu Biron,Pascal Leclaire,2,11:51,PP,,MCI Center
